batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 2549,0.802423,0.648895,0.625800,0.613461,0.672893,0.568636,0.590417,0.473542,0.469444,0.530828,0.535561,0.738086,0.783429,0.233910,0.149255,0.128662,0.277879,0.392388,0.785404,0.592603,0.512085,0.419947,0.422933,0.448932,1.574944,0.776421,0.550047,0.457703,0.418860,0.343131
batch 2550,0.798291,0.645582,0.618388,0.625083,0.703689,0.609454,0.570980,0.464054,0.469988,0.533401,0.529832,0.755822,0.706398,0.245936,0.174199,0.140897,0.277805,0.412602,0.759717,0.596908,0.499580,0.425678,0.397729,0.454020,1.525694,0.739130,0.526648,0.447151,0.398303,0.345708
batch 2551,0.830315,0.653876,0.622181,0.630678,0.698277,0.584933,0.618973,0.486453,0.481216,0.542140,0.536664,0.739715,0.768373,0.269901,0.174359,0.141933,0.278772,0.394352,0.748062,0.575865,0.492721,0.457427,0.374214,0.471938,1.617864,0.739616,0.555411,0.469297,0.418811,0.370214
batch 2552,0.774724,0.621268,0.603429,0.594595,0.688486,0.610298,0.567749,0.472703,0.478954,0.525532,0.513443,0.790271,0.692443,0.257586,0.168988,0.134935,0.269026,0.435030,0.679986,0.507193,0.455396,0.478872,0.400597,0.456842,1.385140,0.685971,0.540751,0.447948,0.426167,0.378357
batch 2553,0.756094,0.630954,0.610011,0.619233,0.693578,0.605474,0.523284,0.457900,0.471147,0.521786,0.521664,0.770168,0.736875,0.218707,0.157921,0.138211,0.272661,0.422530,0.707324,0.557968,0.485470,0.427897,0.389735,0.483230,1.545996,0.718498,0.510638,0.452021,0.419073,0.380898
batch 2554,0.847705,0.662168,0.648010,0.628878,0.708713,0.661334,0.597992,0.480117,0.476906,0.538025,0.529605,0.772081,0.871174,0.226415,0.158824,0.126102,0.287739,0.423000,0.740780,0.610610,0.461112,0.405374,0.339649,0.469230,1.335701,0.670218,0.462896,0.394903,0.378759,0.338868
batch 2555,0.735763,0.613132,0.604522,0.613217,0.702711,0.602109,0.545071,0.457744,0.467218,0.514153,0.490605,0.704455,0.709740,0.252893,0.169148,0.149731,0.268265,0.384551,0.663888,0.506064,0.463143,0.426284,0.384427,0.475264,1.437703,0.662869,0.535290,0.429029,0.428987,0.388048
batch 2556,0.789934,0.644436,0.631950,0.662204,0.742629,0.616508,0.548779,0.466613,0.474305,0.525087,0.488752,0.736269,0.725976,0.227531,0.172455,0.133521,0.274324,0.381832,0.746327,0.560917,0.503598,0.428380,0.413524,0.428972,1.443904,0.681032,0.528688,0.433301,0.384029,0.339710
batch 2557,0.869480,0.653062,0.601842,0.596385,0.664428,0.576339,0.641320,0.471941,0.483209,0.519854,0.510730,0.687975,0.855737,0.254641,0.168147,0.140750,0.264870,0.360186,0.775750,0.624101,0.534960,0.434086,0.366087,0.447887,1.585589,0.734232,0.528103,0.421324,0.367659,0.341829
batch 2558,0.767682,0.630773,0.578075,0.578017,0.650319,0.539982,0.627463,0.481899,0.481779,0.518374,0.513561,0.696212,0.732984,0.259098,0.181578,0.135736,0.254702,0.359158,0.705323,0.540290,0.501912,0.441208,0.378581,0.489147,1.504802,0.699161,0.551337,0.446683,0.428245,0.376629
batch 2559,0.747343,0.642139,0.599243,0.617380,0.666070,0.597294,0.526803,0.453366,0.457594,0.519460,0.515382,0.753647,0.738948,0.265813,0.168605,0.140223,0.278662,0.411633,0.741572,0.554602,0.491776,0.413075,0.360681,0.470590,1.561341,0.756762,0.554562,0.459761,0.411407,0.382563
batch 2560,0.776917,0.617211,0.604925,0.597912,0.751671,0.579974,0.588385,0.464323,0.467677,0.518294,0.506854,0.742770,0.709850,0.240030,0.159857,0.126169,0.269811,0.401755,0.710522,0.519626,0.497404,0.457263,0.453528,0.518375,1.422533,0.688044,0.515352,0.468129,0.410380,0.360694
batch 2561,0.709864,0.612359,0.586213,0.611280,0.696548,0.585633,0.518859,0.455154,0.464096,0.521725,0.496318,0.744606,0.705390,0.240548,0.153650,0.130539,0.258645,0.397574,0.736476,0.578986,0.519941,0.429214,0.368035,0.479876,1.558505,0.734343,0.547158,0.456093,0.388868,0.364412
batch 2562,0.698553,0.601342,0.565969,0.591171,0.676593,0.581569,0.524339,0.451693,0.461207,0.506009,0.494867,0.759809,0.654841,0.268548,0.168023,0.143311,0.264106,0.409924,0.703881,0.541081,0.464662,0.459056,0.410912,0.450543,1.506614,0.761644,0.559310,0.459532,0.426439,0.376458
batch 2563,0.774039,0.624924,0.623380,0.626830,0.691961,0.598893,0.573124,0.460438,0.459509,0.531963,0.513556,0.720354,0.737182,0.237043,0.160093,0.126861,0.269193,0.382061,0.708008,0.538854,0.487130,0.416664,0.388910,0.472755,1.453323,0.695516,0.528527,0.451613,0.422656,0.378921
batch 2564,0.719767,0.607415,0.589503,0.603423,0.687713,0.583126,0.532032,0.450319,0.461781,0.520551,0.497227,0.713865,0.643181,0.237926,0.178083,0.137155,0.264714,0.379865,0.702627,0.527460,0.470391,0.420081,0.375934,0.458522,1.458108,0.711885,0.543008,0.460719,0.413949,0.375740
batch 2565,0.738112,0.636954,0.591752,0.619929,0.653994,0.555704,0.558980,0.454150,0.449705,0.513002,0.518015,0.731588,0.697123,0.274063,0.162699,0.135393,0.265682,0.395103,0.742998,0.556998,0.502092,0.418622,0.388606,0.442765,1.499364,0.776810,0.555409,0.458137,0.406604,0.382575
batch 2566,0.761786,0.652646,0.605434,0.627363,0.721438,0.619254,0.536059,0.459954,0.460225,0.523718,0.527254,0.761381,0.700896,0.247073,0.172392,0.144813,0.287462,0.422115,0.717287,0.531769,0.470716,0.438199,0.420395,0.460194,1.453654,0.744537,0.562112,0.480368,0.418220,0.377062
